CASENAME,COMN,Similarity,token_sort_ratio
"ARMSTRONG WORLD INDUSTRIES, INC.",ARMSTRONG WORLD INDUSTRIES,1,1
ARROW AUTOMOTIVE INDUSTRIES INC,ARROW AUTOMOTIVE INDUSTRIES,1,1
ARROW ELECTRONICS INC,ARROW ELECTRONICS INC,1,1
ARROW INTERNATIONAL INC,ARROW INTERNATIONAL INC,1,1
ARUNDEL CORP.,ARUNDEL CORP,1,1
"ARVIN INDUSTRIES, INC.",ARVIN INDUSTRIES INC,1,1
"ASARCO, INC.",ASARCO INC,1,1
"ASI, LTD.",ASI,1,1
ASPEN SKIING COMPANY,ASPEN SKIING CORP,1,1
ASPEN SKIING CORP.,ASPEN SKIING CORP,1,1
"ASSOCIATED FOOD STORES, INC.",ASSOCIATED FOOD STORES INC,1,1
ASSOCIATED GROCERS,ASSOCIATED GROCERS INC,1,1
ASSOCIATED GROCERS CO,ASSOCIATED GROCERS INC,1,1
ASSOCIATED GROCERS INC,ASSOCIATED GROCERS INC,1,1
"ASSOCIATED GROCERS, INC",ASSOCIATED GROCERS INC,1,1
"ASSOCIATED GROCERS, INC.",ASSOCIATED GROCERS INC,1,1
"ASSOCIATED NATURAL GAS, INC.",ASSOCIATED NATURAL GAS CORP,1,1
"ASSOCIATED PRODUCTS, INC.",ASSOCIATED PRODUCTS INC,1,1
"ASSOCIATED WHOLESALERS, INC.",ASSOCIATED WHOLESALERS INC,1,1
ASTEC INDUSTRIES INC,ASTEC INDUSTRIES INC,1,1
ASTROCOM CORP,ASTROCOM CORP,1,1
ASTROCOM CORP.,ASTROCOM CORP,1,1
ASTRONICS CORP,ASTRONICS CORP,1,1
AT&T,AT&T CORP,1,1
AT&T Corp.,AT&T CORP,1,1
AT&T Mobility,AT&T MOBILITY LLC,1,1
AT&T Mobility LLC,AT&T MOBILITY LLC,1,1
"AT&T TECHNOLOGIES, INC",AT&T TECHNOLOGIES INC,1,1
AT&T Wireless Services,AT&T WIRELESS SERVICES INC,1,1
"ATARI, INC",ATARI INC,1,1
"ATLANTIC PREMIUM BRANDS, INC.",ATLANTIC PREMIUM BRANDS LTD,1,1
ATLANTIC RICHFIELD,ATLANTIC RICHFIELD CO,1,1
ATLANTIC RICHFIELD CO,ATLANTIC RICHFIELD CO,1,1
ATLANTIC RICHFIELD COMPANY,ATLANTIC RICHFIELD CO,1,1
ATLANTIS PLASTICS,ATLANTIS PLASTICS INC,1,1
ATLAS MINERALS,ATLAS MINERALS INC,1,1
"ATLAS VAN LINES, INC",ATLAS VAN LINES INC,1,1
ATMOS ENERGY,ATMOS ENERGY CORP,1,1
"ATS, INC.",ATS CORP,1,1
"AURORA PRODUCTS, INC.",AURORA PRODUCTS CORP,1,1
AUTOMATED SYSTEMS INC,AUTOMATED SYSTEMS INC,1,1
AUTOMATIC SWITCH CO,AUTOMATIC SWITCH,1,1
"AUTOMATION INDUSTRIES, INC.",AUTOMATION INDUSTRIES INC,1,1
AUTOZONE,AUTOZONE INC,1,1
"AUTOZONE, INC.",AUTOZONE INC,1,1
AVCO CORP,AVCO CORP,1,1
AVCO SERVICES CORP.,AVCO CORP,1,1
AVERY DENNISON,AVERY DENNISON CORP,1,1
"AVIALL, INC.",AVIALL INC,1,1
"AVIS, INC.",AVIS INC,1,1
"AVON PRODUCTS, INC.",AVON PRODUCTS,1,1
AZCON CORP.,AZCON CORP,1,1
Abitibi Consolidated,ABITIBI CONSOLIDATED INC,1,1
"Abitibi Consolidated, Inc.",ABITIBI CONSOLIDATED INC,1,1
Able Energy Corp.,ABLE ENERGY INC,1,1
"Acco Brands, Inc.",ACCO BRANDS CORP,1,1
"Ace Hardware, Inc.",ACE HARDWARE CORP,1,1
Acme Electric Company,ACME ELECTRIC CORP,1,1
"Advanced Drainage Systems, Inc",ADVANCED DRAINAGE SYSTEMS,1,1
"Advanced Energy Services, Inc.",ADVANCED ENERGY CORP,1,1
Affiliated Computer Services,AFFILIATED COMPUTER SERVICES,1,1
"Affiliated Computer Services, Inc.",AFFILIATED COMPUTER SERVICES,1,1
